config,range,cost,velocity,result
"*aMM0++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN3*gNL3^ab^ac^ad^ae^cf^bg,26,0",2.045548,3383.6,9.76041,Success
"*aMM0-----*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,40,3",13.9035,5832.836,31.35737,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3----------------^ab^ac^ad^ae^cf^df^eg^bg,10,3",0.2749752,1750.234,8.102526,Success
"*aMM0-*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+*gNL0+^ab^ac^ad^ae^df^eg^fc^cg,30,3",21.04321,5397.227,31.20363,Success
"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2++++*eML1++++*fNN3+++++*gLL3^ab^ac^ad^ae^bf^cf^dg^eg,10,3",0.3317297,4140.609,5.834864,Success
"*aMM0++++++++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL4*gLN4*hMO2+*iOM1+^ab^ac^ad^ae^ef^dg^ch^bi,5,3",6.275186,5865.563,15.40155,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL2*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,53,3",0.0,4129.191,30.18821,CouldNotStabilize
"*aMM0------*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0*gNL0^ab^ac^ad^ae^df^eg^fc^gd,35,3",9.992883,4390.875,29.13999,Success
"*aMM0+*bNM3+*cMN3+*dLM3+*eML3+*fOM1++++*gMO2++++*hKM1++++*iMK2++++*kLL3++*jNN3++*lLN3++*mNL3+++^ab^ac^ad^ae^bf^cg^dh^ei^em^cl^bj^dk,15,3",0.0,3579.624,0.1360818,CouldNotStabilize
"*aMM0++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM3++*gMO3++^ab^ac^ad^ae^bf^cg,5,3",0.0,3402.217,12.727,CouldNotStabilize
"*aMM0++++++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+++*gNL0+++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,60,3",24.37059,11344.28,10.33845,Success
"*aMM0+++++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fLN0+++++*gNN1+++*hLL2+++*iNL0+++++^ab^ac^ad^ae^df^cf^bg^cg^eh^dh^bi^ei,5,3",59.12936,10275.48,17.33644,Success
"*aMM0+++++*bNM1+++*cMN2+++*dLM1+++*eML2+++*fNL3--*gLN3--^ab^ac^ad^ae^ef^dg,12,3",9.597369,3613.124,11.02965,Success
"*aMM0*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+*gNL0+*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,72,3",9.723386,6365.287,24.7684,Success
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN3*gNL3^ab^ac^ad^ae^df^eg,15,3",7.905713,3519.277,10.93719,Success
"*aMM0+++*bNM3*cMN1*dLM2*eML4*fOM2++*gMO2+++*hKM2++*iMK2+++*jNN1++*kLL3+^ab^ac^ad^ae^bf^cg^dh^ei^bj^dk,15,3",0.0,3347.755,5.644241,CouldNotStabilize
