config,range,cost,velocity
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------*gNL3------------^ab^ac^ad^ae^df^eg^bf^gc,7,3",6.751920223,1925.811157,10.76461124
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3---------------------^ab^ac^ad^ae^df^eg^bf^gc,7,3",4.081991673,1886.957886,12.84639645
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----*gNL3----^ab^ac^ad^ae^df^eg^bf^gc,8,30",9.087693214,2145.684326,10.71512508
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^eg^bg,2,3",24.70702744,1761.684937,10.38604736
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----*gNL3-----^ab^ac^ad^ae^df^eg^bg,7,3",10.11303425,1970.347656,9.359065056
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------------*gNL3-------------------------^ab^ac^ad^ae^df^eg^cf,0,3",27.35100937,1721.420166,12.27809238
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------*gNL3------------^ab^ac^ad^ae^df^eg^cf,5,3",5.124115467,1771.977417,10.94064236
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----*gNL3-----^ab^ac^ad^ae^df^eg^cf,6,3",11.57762241,1970.347656,10.34349155
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3------*gNL3------^ab^ac^ad^ae^df^eg^cf,6,3",11.07006741,1963.124634,10.47594929
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^df^eg^cf,8,3",8.553642273,2124.008789,11.08103085
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3-----------------^ab^ac^ad^ae^df^eg^cf,8,3",7.01940918,2069.729248,12.4578371
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3---------------------^ab^ac^ad^ae^df^eg^cf,8,3",6.471241951,2054.767822,12.87183952
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3------------------^ab^ac^ad^ae^df^eg^cf^bg,0,3",84.22585297,1746.051758,10.40235043
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^cf^bg,0,3",74.4551239,1740.172607,10.63865376
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------------*gNL3-----------------------^ab^ac^ad^ae^df^eg^cf^bg,0,3",35.44984055,1726.889893,11.65880585
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------*gNL3----------------------^ab^ac^ad^ae^df^eg^cf^bg,1,3",18.68117905,1729.908325,11.82560635
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------------*gNL3-----------------------^ab^ac^ad^ae^df^eg^cf^bg,1,3",16.6091404,1726.889893,12.11760521
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------------*gNL3---------------------------^ab^ac^ad^ae^df^eg^cf^bg,1,3",10.35151482,1716.664673,13.49316597
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3-----------------^ab^ac^ad^ae^df^eg^cf^bg,2,3",13.43032074,1748.085571,10.98305798
