config,range,cost,velocity,result
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2*#KK2*$LP2*%NP2*&JL1*(OO3*)JM4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@^j#^@$^@%^s%^j&^v(^s(^k(^n)^&),0,3",-0.08881222,10326.5,14.11914,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2*#KK2*$LP2*%NP2*&JL1*(OO3^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@^j#^@$^@%^s%^j&^v(^s(^k(,0,3",-0.08897259,10326.5,14.05631,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2*#KK2*$LP2*%NP2*&JL1*(OO3*)JM4*_JN2^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@^j#^@$^@%^s%^j&^v(^s(^k(^n)^&)^)_,0,3",-0.07808806,10404.5,13.0295,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2*#KK2*$LP2*%NP2*&JL1*(OO3*)JM4*_JN2*=LO2^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@^j#^@$^@%^s%^j&^v(^s(^k(^n)^&)^)_^u=^$=,0,3",-0.07987787,10482.5,14.50772,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2*#KK2*$LP2*%NP2*&JL1*(OO3*)JM4*_JN2*=LO2*[KO4*]LK3^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@^j#^@$^@%^s%^j&^v(^s(^k(^n)^&)^)_^u=^$=^=[^i]^#]^t]^g],0,3",-0.06763203,10562.61,13.64965,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2*#KK2*$LP2*%NP2*&JL1*(OO3*)JM4*_JN2*=LO2*[KO4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@^j#^@$^@%^s%^j&^v(^s(^k(^n)^&)^)_^u=^$=^=[,0,3",-0.07984138,10482.5,14.50782,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2*#KK2*$LP2*%NP2*&JL1*(OO3*)JM4*_JN2*=LO2*[KO4*]LK3*{OL0^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@^j#^@$^@%^s%^j&^v(^s(^k(^n)^&)^)_^u=^$=^=[^i]^#]^t]^g]^!{^l{^x{^f{,0,3",-0.06274447,11962.61,11.67909,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2*#KK2*$LP2*%NP2*&JL1*(OO3*)JM4*_JN2*=LO2*[KO4*]LK3*{OL0*}PK4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@^j#^@$^@%^s%^j&^v(^s(^k(^n)^&)^)_^u=^$=^=[^i]^#]^t]^g]^!{^l{^x{^f{^x}^w}^!},0,3",-0.06270777,11962.61,11.67992,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2*#KK2*$LP2*%NP2*&JL1*(OO3*)JM4*_JN2*=LO2*[KO4*]LK3*{OL0*}PK4*<JO3^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@^j#^@$^@%^s%^j&^v(^s(^k(^n)^&)^)_^u=^$=^=[^i]^#]^t]^g]^!{^l{^x{^f{^x}^w}^!}^[<^_<,0,3",-0.08057044,12042.71,14.32832,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2*#KK2*$LP2*%NP2*&JL1*(OO3*)JM4*_JN2*=LO2*[KO4*]LK3*{OL0*}PK4*<JO3*>JP2^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@^j#^@$^@%^s%^j&^v(^s(^k(^n)^&)^)_^u=^$=^=[^i]^#]^t]^g]^!{^l{^x{^f{^x}^w}^!}^[<^_<^<>,0,3",-0.06034457,12120.71,13.1645,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1+*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2*#KK2*$LP2*%NP2*&JL1*(OO3*)JM4*_JN2*=LO2*[KO4*]LK3*{OL0*}PK4*<JO3*>JP2^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@^j#^@$^@%^s%^j&^v(^s(^k(^n)^&)^)_^u=^$=^=[^i]^#]^t]^g]^!{^l{^x{^f{^x}^w}^!}^[<^_<^<>,0,3",-0.05649104,12147.39,13.01385,CouldNotStabilize
