config,range,cost,velocity,result
"*aMM0++++++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jb^kc,53,3",21.33031,8723.473,14.16668,Success
"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNN4*gLN0*hNL0*iLL3*jKM2+++*kKL1+++*lLK1+++*mMK2+++*nNK1+++*oKN3++++++^ab^ac^ad^ae^bf^eg^ch^di^ej^dk^ic^jb^el^ld^bm^cm,15,3",0.0,0.0,0.0,Timeout
"*aMM0--*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,56,3",8.834446,5456.607,25.51014,Success
"*aMM0+++*bNM2++*cMN1++*dLM2++*eML1++*fOM1+++*gMO2+++*hMK2+++*iKM1+++*jLN0+++*kNL0+++^ab^ac^ad^ae^bf^cg^eh^di^dj^ek,40,3",28.38397,7558.329,24.73578,Success
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM3+++*gMO3+++*hKM1++++*iMK2+++*kLL3*jNN3^ab^ac^ad^ae^bf^cg^dh^ei^bj^dk,5,3",-0.0145644,4293.11,2.933711,CouldNotStabilize
"*aMM0+++++*bNM2+*cMN1+*dLM2+*eML1+*fMO1++++*gKM2++++*hMK1++++*iOM2++++*jNL3++*kLN3++*lLL0-*mNN0-^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^el^dl^bm^cm,64,3",3.049447,6827.9,24.02694,HitBoundary
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fMO1++*gOM2++*hKM2++*iLN3*jMK1*kNN3^ab^ac^ad^ae^cf^bg^dh^di^ej^bk^ci^ke,20,3",-5.770867e-05,4141.902,0.7623061,CouldNotStabilize
"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fLL3++*gLN0+++++*hNL0+++*iNN3++^ab^ac^ad^ae^ef^cg^eh^ci,10,3",-0.003278325,8787.829,17.50069,CouldNotStabilize
"*aMM2++++++++++++++++*bNM4++++++++++++++++*cOM4--------*dNL0++++++++++++++++*eNK1----------------*fNJ3++++++++++++++++*gOL2++++++++++++++++*hMN4----------------*iLN4----------------^ab^bc^ad^de^cf^fg^fh^hi,70,3",0.0,0.0,0.0,Timeout
"*aMM0-*bNM2++*cMN1++*dLM2+*eML1+*fLN3-----------*gNL3-----------^ab^ac^ad^ae^df^eg^bf^cg,6,3",0.1865522,2010.969,4.898221,Success
"*aMM0+*bNM2*cMN1*dLM2*eML2*fOM2+*gMK2*hMO2*iKM2^ab^ac^ad^ae^cf^eg^bh^di,5,3",0.0,0.0,0.0,Timeout
"*aMM4*bNM4*cMN4*dLM4*eML4^ab^ac^ad^ae,15,0",0.0,0.0,0.0,Error
"*aMM0++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3",12.92317,6158.227,25.13791,Success
"*aMM0+++++++*bNM2+++++*cMN2+++*dLM2+++++++++*eML2+++++++++++^ab^ac^ad^ae,5,3",-0.2902931,6323.778,3.101602,CouldNotStabilize
"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++*eML1+++*fNL3+++++*gLL3+^ab^ac^ad^ae^bf^cf^dg^eg,10,3",-0.004458421,3997.303,6.179484,CouldNotStabilize
"*aMM0--*bNM2++*cMN1++*dLM2+*eML1+*fOM4*gNN4*hNL3*iMO4*jLN3*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^el^em^cg^dj^eh,6,2",-0.003914474,1936.933,0.07677953,CouldNotStabilize
