config,range,cost,velocity
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN2+*gNL0+^ab^ac^ad^ae^df^eg,5,3",-0.7585691,5046.156,22.15527
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN2+*gNL1+^ab^ac^ad^ae^df^eg,5,3",10.14672,3568.45,20.05045
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN2+*gNL1+^ab^ac^ad^ae^df^eg,5,3",10.14672,3568.45,20.05045
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN2+*gNL1+^ab^ac^ad^ae^df^eg,5,3",10.14672,3568.45,20.05045
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN2+*gNL1+^ab^ac^ad^ae^df^eg,5,3",10.14672,3568.45,20.05045
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN2+*gNL1+^ab^ac^ad^ae^df^eg,5,3",10.14672,3568.45,20.05045
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN2+*gNL1+^ab^ac^ad^ae^df^eg,5,3",10.14672,3568.45,20.05045
"*aMM0++++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN3*gNL3^ab^ac^ad^ae^df^eg,5,3",20.05298,5885.45,8.54644
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",9.999299,3470.2,20.00051
"*aMM0++++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,47,3",-0.02793741,5725.248,5.03e-06
"*aMM0+++++++++*bNM1+++*cMN1+++*dLM2+++*eML2+++^ab^ac^ad^ae,4,3",16.43701,4639.701,14.24221
"*aMM0+++++++++++++++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++^ab^ac^ad^ae,5,3",22.15719,9347.92,6.294839
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,10,3",25.76269,7128.404,41.65825
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,10,3",25.76269,7128.404,41.65825
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,10,3",25.76269,7128.404,41.65825
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,10,3",25.76269,7128.404,41.65825
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,10,3",25.76269,7128.404,41.65825
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,15,3",20.43358,7128.404,37.99802
"*aMM0+++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,15,3",25.44541,6651.813,46.04111
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,10,3",25.76269,7128.404,41.65825
"*aMM0++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,15,3",20.58512,6881.602,43.09135
